palabra;definicion;grammatical;nivel2;tematica;nivel
pencil;a tool for writing;noun;Pre A1 Starters;School;
pen;a tool for writing with ink;noun;Pre A1 Starters;School;
spoon;a tool with a bowl shape for eating;noun;A1 Movers;Food & drink;
knife;a tool with a sharp blade for cutting;noun;A1 Movers;Food & drink;
fork;a tool with prongs for eating;noun;A2 Flyers;Food & drink;
kite;a toy flown in the wind;noun;Pre A1 Starters;Sports & leisure;
doll;a toy representing a person;noun;Pre A1 Starters;Toys;
path;a track for walking;noun;A2 Flyers;Places;
mango;a tropical fruit with orange flesh;noun;Pre A1 Starters;Food & drink;
tune;a tune;noun;A2 Flyers;Sports & leisure;
tyre;a tyre;noun;A2 Flyers;Sports & leisure;
word;a unit of language;noun;Pre A1 Starters;School;
boat;a vehicle for water travel;noun;Pre A1 Starters;Transport;
wall;a vertical structure forming a side of a building or room;noun;Pre A1 Starters;School;
ocean;a very large sea;noun;A2 Flyers;Work;
whale;a very large sea mammal;noun;A1 Movers;Animals;
baby;a very young child;noun;Pre A1 Starters;Family & friends;
cloud;a visible mass of water vapor;noun;A1 Movers;Weather;
waiter;a waiter;noun;A2 Flyers;Work;
wash;a wash;noun;A1 Movers;;
duck;a water bird with a wide flat beak;noun;Pre A1 Starters;Animals;
road;a way for vehicles to travel;noun;A1 Movers;Work;
exit;a way out;noun;A2 Flyers;Work;
milk;a white liquid from cows;noun;Pre A1 Starters;Food & drink;
salt;a white substance used to flavor food;noun;A1 Movers;Food & drink;
wifi;a wifi;noun;A2 Flyers;;
window;a window;noun;Pre A1 Starters;School;
wish;a wish;noun;A2 Flyers;;
x-ray;a x-ray;noun;A2 Flyers;Health;
lemon;a yellow citrus fruit;noun;Pre A1 Starters;Food & drink;
butter;a yellow fat made from cream;noun;A1 Movers;Food & drink;
zero;a zero;noun;A2 Flyers;;
work;activity involving effort;noun;A1 Movers;Work;
hobby;an activity done for pleasure;noun;Pre A1 Starters;Sports & leisure;
game;an activity with rules;noun;Pre A1 Starters;Toys;
woman;an adult female;noun;A2 Flyers;Work;
zebra;an African animal like a horse with black and white stripes;noun;Pre A1 Starters;Animals;
plane;an aircraft;noun;Pre A1 Starters;Transport;
pet;an animal kept at home for companionship and pleasure;noun;Pre A1 Starters;Animals;
fish;an animal that lives in water;noun;Pre A1 Starters;Sports & leisure;
bird;an animal with feathers and wings that can fly;noun;Pre A1 Starters;Animals;
dog;an animal with four legs that people keep as a pet or to do work;noun;Pre A1 Starters;Animals;
flat;an apartment or level surface;noun;Pre A1 Starters;;
field;an area of open land;noun;A1 Movers;Work;
prize;an award for winning;noun;A2 Flyers;Sports & leisure;
bean;an edible seed from a pod;noun;Pre A1 Starters;Food & drink;
oven;an enclosed compartment for cooking;noun;A2 Flyers;;
clown;an entertainer who makes people laugh;noun;A1 Movers;Work;
rubber;an eraser;noun;A1 Movers;School;
bee;an insect that makes honey;noun;Pre A1 Starters;Animals;
pizza;an Italian dish with cheese and toppings on bread;noun;A2 Flyers;Food & drink;
toy;an object for children to play with;noun;Pre A1 Starters;Toys;
carrot;an orange root vegetable;noun;Pre A1 Starters;Food & drink;
coat;an outer garment with sleeves;noun;A1 Movers;Clothes;
egg;an oval object laid by birds, used as food;noun;Pre A1 Starters;Food & drink;
meat;animal flesh used as food;noun;Pre A1 Starters;Food & drink;
fall;autumn or to drop down;noun;A2 Flyers;Time;
water;clear liquid essential for life;noun;Pre A1 Starters;Work;
towel;cloth for drying;noun;A1 Movers;Sports & leisure;
money;coins and notes used to buy things;noun;A2 Flyers;;
salad;cold dish of vegetables;noun;A1 Movers;Food & drink;
and;connecting word;noun;A2 Flyers;Work;
right;correct or a direction;noun;A1 Movers;School;
art;creative subjects like drawing and painting;noun;A1 Movers;School;
moon;Earth's natural satellite;noun;A1 Movers;Work;
email;electronic message;noun;A1 Movers;Sports & leisure;
fun;enjoyment, amusement, or lighthearted pleasure;noun;Pre A1 Starters;;
bat;equipment for hitting a ball;noun;A1 Movers;Sports & leisure;
May;expressing possibility;noun;Pre A1 Starters;Time;
fire;flames and heat;noun;A2 Flyers;Work;
meal;food eaten at a particular time;noun;A1 Movers;Food & drink;
bread;food made from flour and baked;noun;Pre A1 Starters;Food & drink;
kind;friendly and caring;noun;A1 Movers;;
snow;frozen precipitation;noun;A1 Movers;Weather;
ice;frozen water;noun;A1 Movers;Weather;
comic;funny or a magazine with pictures;noun;A1 Movers;Sports & leisure;
cereal;grain food eaten for breakfast;noun;A1 Movers;Food & drink;
stone;hard solid mineral;noun;A1 Movers;Work;
rock;hard stone;noun;A1 Movers;Work;
cold;having a low temperature;noun;A1 Movers;Health;
age;how old someone is;noun;A1 Movers;;
color;hue or shade;noun;A1 Movers;School;
colour;hue or shade;noun;Pre A1 Starters;School;
dad;informal word for father;noun;Pre A1 Starters;Family & friends;
mum;informal word for mother;noun;Pre A1 Starters;Family & friends;
pasta;Italian food made from flour and water;noun;A1 Movers;Food & drink;
farm;land used for growing crops or keeping animals;noun;A1 Movers;Places;
juice;liquid from fruit;noun;Pre A1 Starters;Food & drink;
sauce;liquid served with food to add flavor;noun;A1 Movers;Food & drink;
post;mail or a pole;noun;A2 Flyers;Places;
maths;mathematics;noun;A1 Movers;School;
wind;moving air;noun;A1 Movers;Weather;
song;music with words;noun;Pre A1 Starters;Sports & leisure;
open;not closed;noun;A2 Flyers;School;
toe;one of the five digits at the end of the foot;noun;A2 Flyers;Animals;
finger;one of the five digits on the hand;noun;A2 Flyers;Animals;
leg;one of the limbs on which a person or animal walks;noun;Pre A1 Starters;Animals;
month;one of twelve divisions of a year;noun;A2 Flyers;Time;
page;one side of a sheet of paper in a book;noun;Pre A1 Starters;School;
music;organized sound;noun;A1 Movers;Sports & leisure;
job;paid employment;noun;A1 Movers;Work;
sport;physical games and competitions;noun;Pre A1 Starters;Sports & leisure;
score;points in a game;noun;A1 Movers;Sports & leisure;
flour;powder made from grain;noun;A2 Flyers;Food & drink;
news;recent events;noun;A2 Flyers;Work;
video;recorded moving images;noun;A1 Movers;Sports & leisure;
beach;sandy shore by the sea;noun;Pre A1 Starters;Work;
boots;shoes that cover the foot and ankle;noun;Pre A1 Starters;Clothes;
grass;short plants covering the ground;noun;A1 Movers;Work;
grape;small round fruit that grows in bunches;noun;Pre A1 Starters;Food & drink;
wool;soft hair from sheep;noun;A2 Flyers;Materials;
book;something to read;noun;A1 Movers;Sports & leisure;
seat;something to sit on;noun;A1 Movers;;
food;substances eaten to provide nutrition;noun;Pre A1 Starters;Food & drink;
fruit;sweet food from plants;noun;Pre A1 Starters;Food & drink;
candy;sweet food made with sugar;noun;Pre A1 Starters;Food & drink;
honey;sweet sticky substance made by bees;noun;A1 Movers;Food & drink;
space;the area beyond Earth's atmosphere;noun;A1 Movers;Work;
uncle;the brother of your parent;noun;A1 Movers;Family & friends;
cousin;the child of your aunt or uncle;noun;Pre A1 Starters;Family & friends;
roof;the covering on top of a building;noun;A1 Movers;;
north;the direction to the left of east;noun;A2 Flyers;Places;
east;the direction where the sun rises;noun;A2 Flyers;Places;
west;the direction where the sun sets;noun;A2 Flyers;Places;
world;the earth;noun;A1 Movers;;
end;the final part of something;noun;Pre A1 Starters;Time;
hair;the fine threads growing on the head and body;noun;Pre A1 Starters;Animals;
taste;the flavor of food;noun;A2 Flyers;Food & drink;
front;the forward part;noun;A2 Flyers;Places;
face;the front part of the head with eyes, nose, and mouth;noun;Pre A1 Starters;Animals;
top;the highest part;noun;A1 Movers;;
air;the invisible mixture of gases surrounding Earth;noun;A1 Movers;Work;
knee;the joint between the thigh and lower leg;noun;A1 Movers;Animals;
dinner;the main meal of the day;noun;Pre A1 Starters;Food & drink;
time;the measurement of duration;noun;A2 Flyers;Time;
mouth;the opening in the face for eating and speaking;noun;Pre A1 Starters;Animals;
south;the opposite of north;noun;A1 Movers;Places;
left;the opposite of right;noun;A1 Movers;Places;
eye;the organ of sight in the face;noun;Pre A1 Starters;Animals;
ear;the organ on the side of the head used for hearing;noun;Pre A1 Starters;Animals;
nose;the organ used for breathing and smelling;noun;Pre A1 Starters;Animals;
hand;the part at the end of the arm with fingers;noun;Pre A1 Starters;Animals;
neck;the part connecting the head to the body;noun;A1 Movers;Animals;
tail;the part extending from the back of an animal;noun;Pre A1 Starters;Animals;
wing;the part of a bird or insect used for flying;noun;A2 Flyers;Animals;
arm;the part of the body between the shoulder and the hand;noun;Pre A1 Starters;Animals;
home;the place where you live;noun;Pre A1 Starters;;
smell;the quality perceived by the nose;noun;A1 Movers;Food & drink;
sky;the region of the atmosphere seen from Earth;noun;A1 Movers;Work;
aunt;the sister of your parent;noun;A1 Movers;Family & friends;
fur;the soft thick hair covering the body of an animal;noun;A1 Movers;Animals;
sun;the star at the center of our solar system;noun;Pre A1 Starters;Work;
math;the study of numbers;noun;A2 Flyers;School;
floor;the surface you walk on inside;noun;A1 Movers;School;
night;the time when it is dark;noun;Pre A1 Starters;Time;
head;the top part of the body containing the brain;noun;Pre A1 Starters;Animals;
fog;thick cloud near the ground;noun;A2 Flyers;Weather;
cream;thick part of milk;noun;Pre A1 Starters;Food & drink;
paper;thin material for writing on;noun;Pre A1 Starters;School;
chips;thin slices of fried potato;noun;Pre A1 Starters;Food & drink;
today;this day;noun;Pre A1 Starters;Time;
sand;tiny grains of stone found on beaches;noun;Pre A1 Starters;Work;
try;to attempt;noun;Pre A1 Starters;;
win;to be victorious;noun;A2 Flyers;;
stop;to cease movement;noun;A1 Movers;Transport;
paint;to create pictures using colored liquids;noun;Pre A1 Starters;;
cough;to expel air from the lungs with a sudden sound;noun;A1 Movers;Health;
skate;to glide on ice or wheels;noun;A1 Movers;Sports & leisure;
ski;to glide on snow using long runners;noun;A1 Movers;Sports & leisure;
cross;to go from one side to the other;noun;Pre A1 Starters;School;
walk;to move on foot;noun;A1 Movers;Sports & leisure;
fly;to move through the air;noun;A1 Movers;Transport;
swim;to move through water;noun;A1 Movers;Transport;
dance;to move to music;noun;A1 Movers;Sports & leisure;
drive;to operate a vehicle;noun;A1 Movers;Transport;
cook;to prepare food with heat;noun;A1 Movers;Work;
lift;to raise or an elevator;noun;A1 Movers;Transport;
close;to shut;noun;A2 Flyers;School;
ride;to sit on and control a vehicle or animal;noun;A2 Flyers;Transport;
kick;to strike with the foot;noun;A1 Movers;Sports & leisure;
sail;to travel on water;noun;A1 Movers;Sports & leisure;
jeans;trousers made of denim fabric;noun;Pre A1 Starters;Clothes;
pair;two items of the same kind;noun;A1 Movers;Numbers;
storm;violent weather;noun;A1 Movers;Weather;
rain;water falling from clouds;noun;A1 Movers;Weather;
view;what can be seen;noun;A2 Flyers;Work;
rice;white or brown grains used as food;noun;Pre A1 Starters;Food & drink;
text;written words;noun;A1 Movers;Sports & leisure;
center;;noun;A1 Movers;Sports & leisure;
hockey;;noun;Pre A1 Starters;Sports & leisure;
member;;noun;A2 Flyers;Sports & leisure;
player;;noun;A1 Movers;Sports & leisure;
puzzle;;noun;A2 Flyers;Sports & leisure;
racket;;noun;A1 Movers;Sports & leisure;
roller;;noun;A1 Movers;Sports & leisure;
skates;;noun;A1 Movers;Sports & leisure;
sledge;;noun;A1 Movers;Sports & leisure;
sports;;noun;Pre A1 Starters;Sports & leisure;
tennis;;noun;A1 Movers;Sports & leisure;
violin;;noun;A2 Flyers;Sports & leisure;
winner;;noun;A2 Flyers;Sports & leisure;
August;;noun;A1 Movers;Time;
Friday;;noun;A1 Movers;Time;
Monday;;noun;A1 Movers;Time;
Sunday;;noun;A1 Movers;Time;
autumn;;noun;A1 Movers;Time;
midday;;noun;A2 Flyers;Time;
minute;;noun;A2 Flyers;Time;
spring;;noun;A1 Movers;Time;
summer;;noun;A2 Flyers;Time;
winter;;noun;A2 Flyers;Time;
soccer;;noun;Pre A1 Starters;Toys;
ticket;;noun;A1 Movers;Transport;
artist;;noun;A1 Movers;Work;
doctor;;noun;A1 Movers;Work;
driver;;noun;A1 Movers;Work;
engine;;noun;A2 Flyers;Work;
farmer;;noun;A1 Movers;Work;
future;;noun;A1 Movers;Work;
ground;;noun;A1 Movers;Work;
pirate;;noun;A1 Movers;Work;
planet;;noun;A2 Flyers;Work;
police;;noun;A2 Flyers;Work;
rocket;;noun;A1 Movers;Work;
singer;;noun;A1 Movers;Work;
bottom;;noun;A1 Movers;;
design;;noun;A2 Flyers;;
dining;;noun;Pre A1 Starters;;
e-book;;noun;A1 Movers;;
flower;;noun;Pre A1 Starters;;
jungle;;noun;A1 Movers;;
laptop;;noun;A1 Movers;;
living;;noun;Pre A1 Starters;;
search;;noun;A1 Movers;;
secret;;noun;A1 Movers;;
dolphin;;noun;A1 Movers;Animals;
giraffe;;noun;Pre A1 Starters;Animals;
octopus;;noun;A2 Flyers;Animals;
penguin;;noun;A1 Movers;Animals;
stomach;;noun;A1 Movers;Animals;
T-shirt;;noun;Pre A1 Starters;Clothes;
clothes;;noun;Pre A1 Starters;Clothes;
costume;;noun;A2 Flyers;Clothes;
glasses;;noun;Pre A1 Starters;Clothes;
handbag;;noun;Pre A1 Starters;Clothes;
pajamas;;noun;A2 Flyers;Clothes;
pyjamas;;noun;A2 Flyers;Clothes;
sweater;;noun;A1 Movers;Clothes;
uniform;;noun;A2 Flyers;Clothes;
brother;;noun;Pre A1 Starters;Family & friends;
grandma;;noun;Pre A1 Starters;Family & friends;
grandpa;;noun;Pre A1 Starters;Family & friends;
husband;;noun;A1 Movers;Family & friends;
man/men;;noun;Pre A1 Starters;Family & friends;
surname;;noun;A2 Flyers;Family & friends;
biscuit;;noun;A2 Flyers;Food & drink;
chicken;;noun;Pre A1 Starters;Food & drink;
coconut;;noun;Pre A1 Starters;Food & drink;
noodles;;noun;A1 Movers;Food & drink;
pancake;;noun;A1 Movers;Food & drink;
sausage;;noun;Pre A1 Starters;Food & drink;
yoghurt;;noun;A2 Flyers;Food & drink;
bandage;;noun;A1 Movers;Health;
earache;;noun;A1 Movers;Health;
plastic;;noun;A2 Flyers;Materials;
hundred;;noun;A1 Movers;Numbers;
million;;noun;A2 Flyers;Numbers;
funfair;;noun;A1 Movers;Places;
library;;noun;A1 Movers;Places;
stadium;;noun;A1 Movers;Places;
theater;;noun;A2 Flyers;Places;
English;;noun;Pre A1 Starters;School;
college;;noun;A1 Movers;School;
example;;noun;Pre A1 Starters;School;
history;;noun;A1 Movers;School;
mistake;;noun;A1 Movers;School;
project;;noun;A2 Flyers;School;
science;;noun;A1 Movers;School;
student;;noun;A1 Movers;School;
subject;;noun;A1 Movers;School;
website;;noun;A1 Movers;School;
cartoon;;noun;A1 Movers;Sports & leisure;
channel;;noun;A1 Movers;Sports & leisure;
concert;;noun;A1 Movers;Sports & leisure;
drawing;;noun;Pre A1 Starters;Sports & leisure;
fishing;;noun;Pre A1 Starters;Sports & leisure;
holiday;;noun;A1 Movers;Sports & leisure;
picture;;noun;Pre A1 Starters;Sports & leisure;
present;;noun;A1 Movers;Sports & leisure;
program;;noun;A2 Flyers;Sports & leisure;
pyramid;;noun;A2 Flyers;Sports & leisure;
skating;;noun;A1 Movers;Sports & leisure;
snowman;;noun;A1 Movers;Sports & leisure;
theatre;;noun;A2 Flyers;Sports & leisure;
January;;noun;A1 Movers;Time;
October;;noun;A2 Flyers;Time;
Tuesday;;noun;A1 Movers;Time;
century;;noun;A1 Movers;Time;
evening;;noun;Pre A1 Starters;Time;
morning;;noun;Pre A1 Starters;Time;
quarter;;noun;A2 Flyers;Time;
tonight;;noun;A2 Flyers;Time;
weekend;;noun;A1 Movers;Time;
balloon;;noun;Pre A1 Starters;Toys;
monster;;noun;Pre A1 Starters;Toys;
bicycle;;noun;A1 Movers;Transport;
journey;;noun;A1 Movers;Transport;
railway;;noun;A2 Flyers;Transport;
tractor;;noun;A1 Movers;Transport;
traffic;;noun;A2 Flyers;Transport;
rainbow;;noun;A1 Movers;Weather;
weather;;noun;A1 Movers;Weather;
airport;;noun;A1 Movers;Work;
country;;noun;A1 Movers;Work;
dentist;;noun;A1 Movers;Work;
factory;;noun;A2 Flyers;Work;
fighter;;noun;A2 Flyers;Work;
manager;;noun;A1 Movers;Work;
meeting;;noun;A2 Flyers;Work;
officer;;noun;A2 Flyers;Work;
station;;noun;A1 Movers;Work;
teacher;;noun;Pre A1 Starters;Work;
village;;noun;A1 Movers;Work;
address;;noun;A1 Movers;;
balcony;;noun;A1 Movers;;
bedroom;;noun;Pre A1 Starters;;
blanket;;noun;A1 Movers;;
cushion;;noun;A2 Flyers;;
kitchen;;noun;Pre A1 Starters;;
machine;;noun;A1 Movers;;
message;;noun;A1 Movers;;
problem;;noun;A2 Flyers;;
shampoo;;noun;A1 Movers;;
creature;;noun;A2 Flyers;Animals;
dinosaur;;noun;A2 Flyers;Animals;
elephant;;noun;Pre A1 Starters;Animals;
kangaroo;;noun;A1 Movers;Animals;
shoulder;;noun;A1 Movers;Animals;
tortoise;;noun;A2 Flyers;Animals;
bracelet;;noun;A1 Movers;Clothes;
necklace;;noun;A2 Flyers;Clothes;
swimsuit;;noun;A1 Movers;Clothes;
trainers;;noun;A2 Flyers;Clothes;
trousers;;noun;Pre A1 Starters;Clothes;
daughter;;noun;A1 Movers;Family & friends;
grandson;;noun;A1 Movers;Family & friends;
grown-up;;noun;A1 Movers;Family & friends;
lemonade;;noun;Pre A1 Starters;Food & drink;
sandwich;;noun;A1 Movers;Food & drink;
headache;;noun;A1 Movers;Health;
medicine;;noun;A1 Movers;Health;
thousand;;noun;A2 Flyers;Numbers;
bookshop;;noun;Pre A1 Starters;Places;
chemists;;noun;A1 Movers;Places;
alphabet;;noun;Pre A1 Starters;School;
bookcase;;noun;Pre A1 Starters;School;
computer;;noun;Pre A1 Starters;School;
cupboard;;noun;Pre A1 Starters;School;
homework;;noun;A1 Movers;School;
keyboard;;noun;Pre A1 Starters;School;
language;;noun;A1 Movers;School;
painting;;noun;Pre A1 Starters;School;
question;;noun;Pre A1 Starters;School;
scissors;;noun;A1 Movers;School;
sentence;;noun;Pre A1 Starters;School;
backpack;;noun;A1 Movers;Sports & leisure;
festival;;noun;A2 Flyers;Sports & leisure;
magazine;;noun;A1 Movers;Sports & leisure;
practice;;noun;A1 Movers;Sports & leisure;
rucksack;;noun;A2 Flyers;Sports & leisure;
shopping;;noun;A1 Movers;Sports & leisure;
snowball;;noun;A1 Movers;Sports & leisure;
suitcase;;noun;A2 Flyers;Sports & leisure;
swimming;;noun;A1 Movers;Sports & leisure;
umbrella;;noun;A2 Flyers;Sports & leisure;
December;;noun;A2 Flyers;Time;
February;;noun;A2 Flyers;Time;
November;;noun;A2 Flyers;Time;
Saturday;;noun;A1 Movers;Time;
Thursday;;noun;A1 Movers;Time;
birthday;;noun;Pre A1 Starters;Time;
calendar;;noun;A1 Movers;Time;
midnight;;noun;A2 Flyers;Time;
tomorrow;;noun;A2 Flyers;Time;
baseball;;noun;Pre A1 Starters;Toys;
football;;noun;Pre A1 Starters;Toys;
motorway;;noun;A2 Flyers;Transport;
platform;;noun;A2 Flyers;Transport;
Starters;;noun;A1 Movers;Work;
building;;noun;A1 Movers;Work;
business;;noun;A1 Movers;Work;
designer;;noun;A2 Flyers;Work;
engineer;;noun;A2 Flyers;Work;
entrance;;noun;A2 Flyers;Work;
hospital;;noun;A1 Movers;Work;
mechanic;;noun;A1 Movers;Work;
mountain;;noun;A1 Movers;Work;
armchair;;noun;Pre A1 Starters;;
basement;;noun;A1 Movers;;
bathroom;;noun;Pre A1 Starters;;
elevator;;noun;A1 Movers;;
envelope;;noun;A2 Flyers;;
internet;;noun;A1 Movers;;
postcard;;noun;A2 Flyers;;
surprise;;noun;A2 Flyers;;
treasure;;noun;A1 Movers;;
upstairs;;noun;A1 Movers;;
butterfly;;noun;A1 Movers;Animals;
crocodile;;noun;Pre A1 Starters;Animals;
foot/feet;;noun;Pre A1 Starters;Animals;
jellyfish;;noun;Pre A1 Starters;Animals;
moustache;;noun;A1 Movers;Animals;
classmate;;noun;Pre A1 Starters;Family & friends;
breakfast;;noun;Pre A1 Starters;Food & drink;
chocolate;;noun;Pre A1 Starters;Food & drink;
meatballs;;noun;Pre A1 Starters;Food & drink;
milkshake;;noun;A1 Movers;Food & drink;
pineapple;;noun;Pre A1 Starters;Food & drink;
vegetable;;noun;A1 Movers;Food & drink;
toothache;;noun;A1 Movers;Health;
city/town;;noun;A1 Movers;Places;
direction;;noun;A2 Flyers;Places;
kilometer;;noun;A2 Flyers;Places;
kilometre;;noun;A1 Movers;Places;
town/city;;noun;A1 Movers;Places;
classroom;;noun;Pre A1 Starters;School;
geography;;noun;A1 Movers;School;
timetable;;noun;A2 Flyers;School;
badminton;;noun;Pre A1 Starters;Sports & leisure;
equipment;;noun;Pre A1 Starters;Sports & leisure;
programme;;noun;A2 Flyers;Sports & leisure;
snowboard;;noun;A1 Movers;Sports & leisure;
September;;noun;A1 Movers;Time;
Wednesday;;noun;A1 Movers;Time;
afternoon;;noun;Pre A1 Starters;Time;
yesterday;;noun;A1 Movers;Time;
motorbike;;noun;Pre A1 Starters;Toys;
passenger;;noun;A2 Flyers;Transport;
spaceship;;noun;A1 Movers;Transport;
ambulance;;noun;A1 Movers;Work;
astronaut;;noun;A1 Movers;Work;
newspaper;;noun;A2 Flyers;Work;
waterfall;;noun;A1 Movers;Work;
adventure;;noun;A1 Movers;;
apartment;;noun;Pre A1 Starters;;
telephone;;noun;A2 Flyers;;
mouse/mice;;noun;Pre A1 Starters;Animals;
sunglasses;;noun;A2 Flyers;Clothes;
chopsticks;;noun;A1 Movers;Food & drink;
strawberry;;noun;A1 Movers;Food & drink;
watermelon;;noun;Pre A1 Starters;Food & drink;
restaurant;;noun;A1 Movers;Places;
skyscraper;;noun;A1 Movers;Places;
dictionary;;noun;A2 Flyers;School;
playground;;noun;Pre A1 Starters;School;
university;;noun;A2 Flyers;School;
flashlight;;noun;A2 Flyers;Sports & leisure;
instrument;;noun;A1 Movers;Sports & leisure;
invitation;;noun;A1 Movers;Sports & leisure;
skateboard;;noun;Pre A1 Starters;Sports & leisure;
volleyball;;noun;A2 Flyers;Sports & leisure;
basketball;;noun;Pre A1 Starters;Toys;
helicopter;;noun;Pre A1 Starters;Transport;
journalist;;noun;A1 Movers;Work;
difference;;noun;A1 Movers;;
downstairs;;noun;A1 Movers;;
toothbrush;;noun;A1 Movers;;
toothpaste;;noun;A1 Movers;;
tooth/teeth;;noun;A1 Movers;Animals;
grandfather;;noun;Pre A1 Starters;Family & friends;
grandmother;;noun;Pre A1 Starters;Family & friends;
grandparent;;noun;A1 Movers;Family & friends;
woman/women;;noun;Pre A1 Starters;Family & friends;
temperature;;noun;A1 Movers;Health;
supermarket;;noun;A1 Movers;Places;
competition;;noun;A1 Movers;School;
countryside;;noun;A1 Movers;Work;
environment;;noun;A2 Flyers;Work;
leaf/leaves;;noun;A1 Movers;Work;
information;;noun;A1 Movers;;
stomach-ache;;noun;A1 Movers;Health;
snowboarding;;noun;A1 Movers;Sports & leisure;
businessman/;;noun;A1 Movers;Work;
photographer;;noun;A2 Flyers;Work;
conversation;;noun;A1 Movers;;
granddaughter;;noun;A1 Movers;Family & friends;
person/people;;noun;Pre A1 Starters;Family & friends;
TV/television;;noun;Pre A1 Starters;Sports & leisure;
skateboarding;;noun;Pre A1 Starters;Sports & leisure;
television/TV;;noun;Pre A1 Starters;Sports & leisure;
child/children;;noun;Pre A1 Starters;Family & friends;
go on;;verb;B1 Preliminar;;
go out;;verb;B1 Preliminar;Entertainment and Media;
put on;;verb;B1 Preliminar;Clothes;
try on;;verb;B1 Preliminar;Clothes;
cut up;;verb;B1 Preliminar;;
end up;;verb;B1 Preliminar;;
get in;;verb;B1 Preliminar;;
get on;;verb;B1 Preliminar;;
get up;;verb;B1 Preliminar;;
go for;;verb;B1 Preliminar;;
go off;;verb;B1 Preliminar;;
put up;;verb;B1 Preliminar;;
set up;;verb;B1 Preliminar;;
dial up;;verb;B1 Preliminar;Communications and Technology;
hang up;;verb;B1 Preliminar;Communications and Technology;
ring up;;verb;B1 Preliminar;Communications and Technology;
turn on;;verb;B1 Preliminar;Education;
look at;;verb;B1 Preliminar;Entertainment and Media;
wash up;;verb;B1 Preliminar;Food & drink;
base on;;verb;B1 Preliminar;;
be over;;verb;B1 Preliminar;;
call in;;verb;B1 Preliminar;;
come on;;verb;B1 Preliminar;;
fill in;;verb;B1 Preliminar;;
fill up;;verb;B1 Preliminar;;
get off;;verb;B1 Preliminar;;
give in;;verb;B1 Preliminar;;
give up;;verb;B1 Preliminar;;
grow up;;verb;B1 Preliminar;;
hand in;;verb;B1 Preliminar;;
hold up;;verb;B1 Preliminar;;
keep in;;verb;B1 Preliminar;;
keep on;;verb;B1 Preliminar;;
keep up;;verb;B1 Preliminar;;
look up;;verb;B1 Preliminar;;
pass on;;verb;B1 Preliminar;;
pick up;;verb;B1 Preliminar;;
put off;;verb;B1 Preliminar;;
put out;;verb;B1 Preliminar;;
run out;;verb;B1 Preliminar;;
set off;;verb;B1 Preliminar;;
set out;;verb;B1 Preliminar;;
show up;;verb;B1 Preliminar;;
take up;;verb;B1 Preliminar;;
tidy up;;verb;B1 Preliminar;;
turn up;;verb;B1 Preliminar;;
wake up;;verb;B1 Preliminar;;
break up;;verb;B1 Preliminar;Education;
turn off;;verb;B1 Preliminar;Education;
lie down;;verb;B1 Preliminar;Health;
hang out;;verb;B1 Preliminar;Hobbies and Leisure;
take off;;verb;B1 Preliminar;Transport;
break in;;verb;B1 Preliminar;;
bring up;;verb;B1 Preliminar;;
call for;;verb;B1 Preliminar;;
carry on;;verb;B1 Preliminar;;
check in;;verb;B1 Preliminar;;
find out;;verb;B1 Preliminar;;
get back;;verb;B1 Preliminar;;
get down;;verb;B1 Preliminar;;
give out;;verb;B1 Preliminar;;
give way;;verb;B1 Preliminar;;
hand out;;verb;B1 Preliminar;;
look for;;verb;B1 Preliminar;;
look out;;verb;B1 Preliminar;;
put away;;verb;B1 Preliminar;;
put down;;verb;B1 Preliminar;;
sit down;;verb;B1 Preliminar;;
split up;;verb;B1 Preliminar;;
work out;;verb;B1 Preliminar;;
chill out;;verb;B1 Preliminar;Hobbies and Leisure;
carry out;;verb;B1 Preliminar;;
check out;;verb;B1 Preliminar;;
cross out;;verb;B1 Preliminar;;
give back;;verb;B1 Preliminar;;
ring back;;verb;B1 Preliminar;;
turn down;;verb;B1 Preliminar;;
turn into;;verb;B1 Preliminar;;
break down;;verb;B1 Preliminar;;
knock down;;verb;B1 Preliminar;;
look after;;verb;B1 Preliminar;;
throw away;;verb;B1 Preliminar;;
write down;;verb;B1 Preliminar;;
put through;;verb;B1 Preliminar;;
stay behind;;verb;B1 Preliminar;;
look forward;;verb;B1 Preliminar;;
ages;a ages;plural noun;B1 Preliminar;;
goods;a goods;plural noun;B1 Preliminar;;
pence;a pence;plural noun;B1 Preliminar;;
shorts;a shorts;plural noun;B1 Preliminar;Clothes;
stairs;a stairs;plural noun;B1 Preliminar;House and Home;
tights;a tights;plural noun;B1 Preliminar;Clothes;
jeans;trousers made of denim fabric;plural noun;B1 Preliminar;Clothes;
people;;plural noun;B1 Preliminar;;
clothes;;plural noun;B1 Preliminar;Clothes;
glasses;;plural noun;B1 Preliminar;Clothes;
studies;;plural noun;B1 Preliminar;Education;
customs;;plural noun;B1 Preliminar;Transport;
pyjamas;;plural noun;B1 Preliminar;;
trousers;;plural noun;B1 Preliminar;Clothes;
graphics;;plural noun;B1 Preliminar;;
scissors;;plural noun;B1 Preliminar;;
sunglasses;;plural noun;B1 Preliminar;Clothes;
facilities;;plural noun;B1 Preliminar;Hobbies and Leisure;
instructions;;plural noun;B1 Preliminar;Education;
refreshments;;plural noun;B1 Preliminar;Food & drink;
under;beneath;preposition;B1 Preliminar;;
via;by way of;preposition;B1 Preliminar;;
for;during a period of time;preposition;B1 Preliminar;;
